Continent,Region,City,Country,Meal.inex.rest,Meal2px$$3course,McMeal,Beer0.5Res,BeerImport.33Res,CappRest,CokeRest,WaterRest,Milk1l,BreadLoaf,Ricekg,Eggs12,Cheesekg,Chickenkg,Beefkg,Appleskg,Bananakg,Orangeskg,Tomatokg,Potatokg,Onionkg,Lettuce,Water1.5lmarket,Wine$$market,BeerDomes0.5market,BeerImport0.33market,Cigs20,Busfare,Monthbuspass,Taxistart,Taxi1km,Taxi1hrwait,Fuel1l,VwGolf,ToyotaCorolla,Basicbillsapartment,1minmobile,Wifiunlimited,Gymmonth,Tennis1hr,Cinema,Preschoolmonth,Internationalprimaryyear,Jeans,Dress,Trainers,Leathershoes,1bedaptmcity,1bedaptmsuburb,3bedaptmcity,3bedaptmsuburb,sqmpriceaptmcity,sqmtpriceaptmsuburb,netmonthlysalary
South America,South America,Cusco,Peru,1.92,25.62,5.64,2.05,3.84,1.54,0.66,0.47,1.17,1.79,1.09,2.05,4.87,6.28,6.02,1.62,1.22,1.67,1.47,1.35,1.25,0.89,0.91,8.84,2.15,3.37,4.48,0.26,15.37,1.28,1.15,5.12,1.11,18655.95,19146.84,59.71,0.19,35.02,32.46,5.12,5.12,128.12,5944.98,47.75,20.41,81.15,67.91,352.34,249.84,650.87,466.37,3886.44,2288.01,427.08
South America,South America,Arequipa,Peru,2.69,15.37,4.36,1.92,2.82,2,0.53,0.36,1.14,1.49,0.94,1.69,5.42,4.1,5.48,1.18,0.83,0.91,0.83,0.68,0.56,0.56,0.68,6.79,1.59,2.56,3.84,0.26,13.37,1.28,1.54,4.48,1.08,18962.42,17319.64,37.26,0.21,40.66,40.79,16.66,3.97,204.36,2836.68,36.94,23.92,66.62,59.79,230.62,170.83,555.21,337.39,1473.43,1093.33,372.48
South America,South America,Piura,Peru,2.56,8.97,4.47,1.41,1.67,2.47,0.48,0.4,1.6,1.24,0.78,1.18,3.25,3.31,4.19,1.32,1.02,1.07,0.84,0.54,0.8,0.56,0.6,5.64,1.18,2.05,2.02,0.38,23.4,1.28,1.28,2.82,1.07,7687.47,16399.93,54.39,0.03,22.97,34.67,5.12,2.82,56.37,1168.5,25.54,17.51,39.21,48.6,397.19,230.62,704.68,384.37,1635.37,1571.31,354.48
South America,South America,Chiclayo,Peru,2.31,14.99,5.88,1.41,3.33,2.31,0.58,0.38,0.96,0.73,0.87,1.93,2.82,2.52,5.38,1.11,0.85,1.02,0.85,0.56,0.81,0.56,0.85,6.15,1.18,2.05,4.61,0.45,30.75,1.28,1.28,5.12,0.95,15374.94,16399.93,33.57,0.03,32.46,23.92,20.5,3.97,74.31,1844.99,50.31,24.77,69.96,66.62,130.26,108.91,243.44,294.69,613.11,680.18,269.06
Asia,Southeastern Asia,Muntinlupa City,Philippines,4.42,17.68,3.45,1.41,2.08,2.3,0.82,0.38,1.69,1.26,0.88,1.78,4.82,3.62,6.9,3.44,1.59,2.72,2.14,2,1.77,2.08,0.91,11.49,1.16,1.73,2.48,0.21,10.61,0.71,0.4,3.54,1.11,42432.06,22984.03,97.24,0.13,32.4,49.06,7.96,6.19,73.67,4596.81,22.1,18.96,78.09,101.66,397.8,206.27,1149.2,442,2298.4,707.2,442
Asia,Southeastern Asia,Makati City,Philippines,5.3,35.36,3.54,1.68,3.54,2.3,0.82,0.47,1.69,1.28,1.14,2.05,9.51,3.62,6.9,3.44,1.97,2.72,2.14,2.72,1.77,2.41,0.91,15.03,1.16,1.73,2.48,0.35,11.07,0.71,0.4,3.54,1.29,42432.06,22984.03,117.93,0.13,35.13,54.15,6.78,6.19,259.31,9429.35,22.1,18.96,78.09,101.66,583.44,342.55,2437.32,1413.04,3917.09,2121.6,433.65
Asia,Southeastern Asia,Manila,Philippines,3.54,27.4,3.54,1.24,1.9,2.91,0.93,0.51,1.63,1.19,0.89,1.73,5.06,4.19,6.64,2.66,1.42,2.95,1.42,1.76,1.75,1.36,0.65,8.84,1.15,1.55,2.65,0.53,11.86,0.71,0.24,2.12,1.38,22984.03,18200.6,97.45,0.15,38.02,48.09,5.85,5.48,254.89,10860.59,38.45,26.96,69.47,61.82,559.52,281.78,1754.4,684.81,3536.04,2596.44,419.02
Asia,Southeastern Asia,Quezon City,Philippines,3.54,19.45,2.74,1.33,2.43,2.68,0.97,0.52,1.56,1.19,0.92,1.91,8.78,4.62,7.32,2.48,1.66,2.44,1.31,2.14,2.2,1.15,0.82,7.07,1.27,1.71,2.43,0.44,9.72,0.71,0.24,2.12,1.27,27315.64,20685.63,199.36,0.16,38.67,40.33,4.77,6.19,132.6,2165.8,30.51,23.83,71.78,60.94,317.24,188.2,889.99,465.74,1470.39,548.79,312.67
Asia,Southeastern Asia,Lapu-Lapu City,Philippines,2.65,20.33,2.74,1.41,2.03,2.48,0.6,0.37,1.66,1.12,0.85,1.46,9.11,4.03,5.83,3.3,1.11,2.3,1.54,1.65,1.92,1.06,0.52,6.72,0.97,2.11,2.12,0.27,38.43,0.71,0.31,2.65,1.37,27776.22,16367.28,75.04,0.1,30.64,53.04,4.71,4.42,150.28,1768,37.57,22.76,65.67,60.62,284.37,202.66,631.66,496.65,1193.4,1016.6,306.45
Asia,Southeastern Asia,Angeles City,Philippines,2.65,30.94,4,1.5,2.56,2.35,0.76,0.67,1.48,1.17,0.86,1.79,9.9,4.23,7.28,3.31,1.31,2.63,1.65,1.89,2.39,1.25,0.62,8.49,0.96,1.52,2.39,0.19,18.32,0.86,0.24,1.59,1.29,31874.98,26756.81,136.13,0.13,38.09,20.25,7.07,4.42,84.47,4803.07,41.72,22.67,74.84,63.03,271.09,159.12,574.6,331.5,1768,1119.73,302.77
Asia,Southeastern Asia,Baguio City,Philippines,3.54,12.82,2.65,3.54,1.77,1.77,0.56,0.49,1.79,1.14,1.18,1.6,4.1,3.01,4.77,1.49,1.46,1.31,0.83,0.81,0.96,0.66,0.6,4.42,1.08,2.52,2.65,0.19,17.68,0.62,0.26,1.94,1.3,36244.05,23278.7,108.44,0.13,37.13,32.71,3.76,5.13,281.41,6011.21,27.4,29.61,79.56,46.41,297.61,143.97,521.56,313.82,2062.67,1298.75,279.93
Asia,Southeastern Asia,Mandaluyong City,Philippines,2.92,17.68,2.65,1.77,2.21,1.77,0.34,0.3,1.53,0.97,0.8,1.5,3.12,4.13,5.42,1.73,1.89,2.12,0.83,1.86,1.97,1.41,0.85,4.95,1.3,1.56,2.52,0.18,8.49,0.71,0.88,1.68,1.25,53040.08,22984.03,175.92,0.14,25.63,41.99,10.61,4.77,194.48,2416.27,34.03,24.09,77.79,46.41,394.99,383.07,1414.4,1031.33,1886.18,1093.65,279.34
Asia,Southeastern Asia,Davao,Philippines,3.54,26.52,2.65,0.88,1.24,2.39,0.68,0.4,1.64,1.24,0.88,2.09,6.66,4.46,10.08,3.38,1.27,2.25,1.57,2.26,3.12,1.51,0.69,8.84,1.15,1.75,2.65,0.21,3.54,0.71,0.24,2.12,1.32,18564.03,24545.77,95.58,0.13,38.67,47.74,5.3,3.89,53.04,7072.01,64.83,33.59,84.42,67.77,223.95,150.28,751.4,291.72,2298.4,1254.79,276.57
Asia,Southeastern Asia,General Santos,Philippines,3.98,9.72,2.56,1.11,1.33,2.12,0.31,0.27,1.41,0.88,0.88,1.27,2.39,2.92,6.19,3.24,1.33,2.21,0.44,0.88,1.47,0.8,0.65,3.54,1.07,1.77,2.21,0.15,15.37,0.8,0.22,2.12,1.29,20332.03,20626.7,75.14,0.16,44.2,19.45,5.3,3.18,84.72,1396.72,44.2,13.26,70.72,30.94,141.44,88.4,353.6,176.8,928.2,618.8,265.2
Asia,Southeastern Asia,Cebu City,Philippines,2.65,25.9,3.18,1.41,2.39,2.48,0.6,0.37,1.68,0.99,0.82,1.65,9.11,4.03,5.89,3.35,1.11,3.54,1.54,1.65,1.92,1.06,0.52,6.72,1.15,2.11,2.12,0.18,8.09,0.71,0.24,2.65,1.3,18307.67,16367.28,75.04,0.13,42.78,31.07,7.96,4.42,97.98,2192.32,37.57,22.76,65.67,60.62,505.14,243.98,800.65,522.82,2850.9,536.29,251.45
Asia,Southeastern Asia,Cagayan de Oro,Philippines,1.77,26.52,2.17,1.33,1.59,2.48,1.5,0.57,1.24,0.62,0.85,1.56,4.42,2.77,3.54,0.88,1.02,1.77,0.71,1.77,3.98,0.53,0.35,5.3,1.15,1.77,2.92,0.27,6.19,0.75,0.47,1.68,1.23,14144.02,21216.03,48.62,0.35,25.63,20.63,2.65,4.42,225.91,1768,32.41,23.57,58.93,53.04,190.06,172.38,648.27,340.34,2740.4,2121.6,235.73
Asia,Southeastern Asia,Dasmarinas,Philippines,3.54,17.68,2.74,1.33,2.43,2.68,0.97,0.52,1.56,1.09,0.87,1.87,5.66,4.51,7.32,2.48,1.66,1.77,1.06,1.06,1.94,1.15,0.44,4.42,1.27,1.71,2.12,0.53,4.42,0.71,0.24,2.12,1.27,27315.64,20685.63,38.34,0.16,17.68,11.19,2.69,6.19,132.6,2165.8,12.38,23.83,71.78,60.94,141.44,69.25,176.8,132.6,765.55,358.02,212.16
Asia,Southeastern Asia,Bacolod,Philippines,2.12,12.82,2.65,0.88,1.77,2.18,0.5,0.39,1.5,1.12,0.85,1.75,6.16,4.24,5.3,1.92,1.65,2.12,1.41,1.36,2.77,2.45,0.74,7.07,0.67,0.88,1.94,0.18,10.61,0.71,0.24,2.12,1.23,17680.03,16354.02,45.03,0.14,30.41,27.85,4.42,4.42,232.3,1326,45.53,9.13,54.81,47.15,366.86,161.33,589.33,324.13,1414.4,884,206.27
Europe,Eastern Europe,Warsaw,Poland,7.78,44.43,6,3.11,2.89,2.93,1.33,1.27,0.76,0.97,1.32,2.46,7.38,5.31,10.16,0.85,1.29,1.54,2.24,0.73,0.76,1,0.52,6.66,0.96,1.38,4,0.98,24.44,1.78,0.67,8.89,1.64,22104.03,21808.04,201.12,0.06,13.34,29.85,15.81,6.66,383.07,11080.05,74.03,32.95,74.33,93.81,778.49,592.63,1446.57,1104.41,4361.1,2796.5,1256.6
